         time                     X [m]               Y [m]               Z [m]          Long [deg]      Lat [deg]          h [m]        E(Acc) [m]        N(Acc) [m]       Up(Acc) [m]        E(Pre) [m]        N(Pre) [m]       Up(Pre) [m]           Tot Sat               Gal               GPS              GDOP
1999-Aug-27 09:09:20         4171697.75683        872120.14324       4730014.16804       11.80799       48.17150      535.27786          -1.24315           0.66505          10.68721          -0.68275          -0.65863          -0.10565                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171700.33516        872120.56118       4730015.29096       11.80799       48.17149      537.85475          -1.36166          -0.53037          13.26410          -0.80127          -1.85406           2.47124                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171698.18473        872117.92565       4730013.18441       11.80796       48.17150      534.52161          -3.50137           0.03510           9.93096          -2.94097          -1.28858          -0.86190                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171695.52019        872119.15720       4730014.94197       11.80798       48.17152      534.25993          -1.75063           2.96289           9.66928          -1.19023           1.63920          -1.12358                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171694.88506        872120.08880       4730014.02193       11.80800       48.17152      533.28690          -0.70877           2.67051           8.69625          -0.14838           1.34683          -2.09661                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171693.82362        872120.37903       4730015.57385       11.80800       48.17154      533.79001          -0.20749           4.43542           9.19936           0.35291           3.11174          -1.59350                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171693.83316        872119.22015       4730012.33073       11.80799       48.17152      531.22150          -1.34380           2.44232           6.63084          -0.78340           1.11864          -4.16201                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171695.12240        872119.82948       4730012.90829       11.80799       48.17151      532.57663          -1.01118           1.79425           7.98597          -0.45078           0.47057          -2.80689                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171694.42510        872119.73886       4730013.51030       11.80799       48.17152      532.55765          -0.95718           2.71815           7.96699          -0.39679           1.39446          -2.82587                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171694.96146        872121.56456       4730012.63614       11.80802       48.17151      532.50555           0.72013           1.46557           7.91490           1.28052           0.14189          -2.87796                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171697.88040        872121.63481       4730016.04733       11.80801       48.17151      536.96243           0.19158           1.60079          12.37178           0.75197           0.27711           1.57892                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171700.17713        872123.03665       4730015.94819       11.80802       48.17149      538.57915           1.09376          -0.35426          13.98849           1.65416          -1.67795           3.19564                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171699.17846        872122.03655       4730016.34697       11.80801       48.17150      538.08789           0.31919           0.79259          13.49724           0.87959          -0.53110           2.70438                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171696.47075        872121.42370       4730014.25602       11.80801       48.17151      534.67863           0.27339           1.46651          10.08797           0.83378           0.14283          -0.70489                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171693.84722        872120.90043       4730014.86401       11.80801       48.17153      533.34764           0.29806           3.86531           8.75699           0.85845           2.54163          -2.03587                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171694.34839        872120.49578       4730014.82261       11.80800       48.17153      533.58873          -0.20059           3.53386           8.99808           0.35981           2.21018          -1.79478                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171695.56278        872121.11545       4730015.15883       11.80801       48.17152      534.71657           0.15747           2.77786          10.12591           0.71787           1.45417          -0.66694                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171688.86834        872119.94660       4730011.78669       11.80801       48.17155      527.67426           0.38325           5.58996           3.08361           0.94364           4.26627          -7.70925                 8                 0                 8              2.00
1999-Aug-27 09:09:20         4171693.87341        872120.97816       4730013.78871       11.80801       48.17153      532.57410           0.36878           3.11724           7.98344           0.92918           1.79355          -2.80942                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171692.49418        872120.61323       4730013.68775       11.80801       48.17153      531.54871           0.29381           4.11153           6.95805           0.85421           2.78785          -3.83480                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171688.04342        872120.08485       4730011.73852       11.80801       48.17155      527.11874           0.68739           6.13843           2.52808           1.24778           4.81474          -8.26478                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171690.26676        872119.77888       4730014.50173       11.80800       48.17156      530.58734          -0.06708           6.40623           5.99669           0.49332           5.08254          -4.79617                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171694.50317        872122.32494       4730017.54632       11.80803       48.17154      535.96895           1.55819           4.95851          11.37829           2.11859           3.63482           0.58544                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171692.79089        872120.98460       4730014.29909       11.80801       48.17154      532.24862           0.59660           4.24619           7.65797           1.15700           2.92251          -3.13489                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171698.76090        872120.39522       4730016.70553       11.80799       48.17151      537.85850          -1.20196           1.58654          13.26785          -0.64156           0.26285           2.47499                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171704.29728        872123.80645       4730017.80307       11.80802       48.17148      542.75595           1.00416          -2.23975          18.16530           1.56455          -3.56344           7.37244                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171700.64259        872121.02241       4730014.97815       11.80799       48.17149      537.88529          -0.97311          -1.03355          13.29464          -0.41271          -2.35724           2.50178                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171699.25135        872119.95723       4730013.41049       11.80798       48.17149      535.66361          -1.73104          -0.90187          11.07296          -1.17065          -2.22555           0.28010                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171698.28300        872120.98618       4730012.00275       11.80800       48.17149      534.12293          -0.52571          -1.29130           9.53228           0.03468          -2.61499          -1.26058                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171702.41054        872122.20164       4730014.76464       11.80800       48.17147      539.04123          -0.18061          -2.64525          14.45057           0.37979          -3.96893           3.65772                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171700.92649        872119.24980       4730014.63659       11.80797       48.17149      537.57420          -2.76630          -1.19811          12.98354          -2.20590          -2.52180           2.19068                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171700.93647        872120.16346       4730016.75805       11.80798       48.17150      539.28620          -1.87401           0.07010          14.69555          -1.31362          -1.25359           3.90269                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171699.13405        872119.61011       4730016.43377       11.80798       48.17151      537.79244          -2.04682           1.25285          13.20179          -1.48642          -0.07084           2.40893                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171698.23324        872120.78051       4730018.54953       11.80800       48.17153      538.94068          -0.71685           3.14243          14.35002          -0.15646           1.81874           3.55716                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171698.42739        872119.73233       4730014.62931       11.80798       48.17150      536.00324          -1.78258           0.54624          11.41259          -1.22218          -0.77745           0.61973                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171701.24371        872121.23133       4730018.80060       11.80799       48.17151      541.15449          -0.89161           1.04536          16.56383          -0.33121          -0.27833           5.77098                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171700.03882        872122.95815       4730015.46396       11.80802       48.17149      538.11733           1.04523          -0.56435          13.52667           1.60563          -1.88804           2.73381                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171697.74177        872121.47863       4730014.30574       11.80801       48.17150      535.55288           0.06707           0.56424          10.96223           0.62746          -0.75944           0.16937                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171702.02315        872123.14743       4730015.99199       11.80802       48.17148      539.83197           0.82444          -1.68839          15.24132           1.38484          -3.01208           4.44846                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171700.00113        872122.42775       4730015.48313       11.80801       48.17149      538.03462           0.53377          -0.44320          13.44397           1.09416          -1.76689           2.65111                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171701.16441        872122.64495       4730018.18176       11.80801       48.17150      540.83451           0.50832           0.47494          16.24386           1.06872          -0.84874           5.45100                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171697.28530        872121.05176       4730015.79983       11.80800       48.17152      536.30996          -0.25736           1.95869          11.71931           0.30304           0.63500           0.92645                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171694.86685        872119.29764       4730013.91022       11.80799       48.17152      533.08380          -1.47947           2.72993           8.49315          -0.91907           1.40625          -2.29971                 8                 0                 8              2.00
1999-Aug-27 09:09:21         4171693.51569        872119.52601       4730012.67172       11.80799       48.17152      531.31009          -0.97944           2.85465           6.71943          -0.41904           1.53096          -4.07343                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171690.88592        872118.61848       4730013.90752       11.80799       48.17155      530.39040          -1.32963           5.73528           5.79974          -0.76923           4.41160          -4.99312                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171692.52746        872119.09683       4730010.59881       11.80799       48.17152      529.06178          -1.19732           2.25845           4.47113          -0.63692           0.93477          -6.32173                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171697.96983        872119.63185       4730016.19910       11.80798       48.17152      536.86055          -1.78730           1.94219          12.26990          -1.22691           0.61851           1.47704                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171697.50798        872121.03459       4730016.00991       11.80800       48.17152      536.60952          -0.31974           1.93899          12.01887           0.24066           0.61531           1.22601                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171694.63478        872119.17111       4730013.22461       11.80798       48.17152      532.40416          -1.55583           2.46125           7.81351          -0.99543           1.13757          -2.97935                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171692.49931        872121.27124       4730014.45843       11.80802       48.17154      532.21613           0.93684           4.52143           7.62548           1.49724           3.19774          -3.16738                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171696.61631        872121.17587       4730014.55722       11.80801       48.17151      534.96426           0.00102           1.59900          10.37361           0.56142           0.27532          -0.41925                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171693.90220        872119.54058       4730010.59889       11.80799       48.17151      530.01982          -1.04427           1.18815           5.42917          -0.48387          -0.13554          -5.36369                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171700.29891        872120.23397       4730014.91080       11.80798       48.17149      537.50316          -1.67453          -0.70757          12.91250          -1.11414          -2.03126           2.11964                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171700.73872        872120.07867       4730017.23077       11.80798       48.17150      539.49778          -1.91654           0.54252          14.90713          -1.35614          -0.78117           4.11427                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171695.39060        872119.68205       4730016.46018       11.80799       48.17153      535.37825          -1.21037           3.98988          10.78760          -0.64998           2.66620          -0.00526                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171696.15920        872120.45485       4730016.73467       11.80800       48.17153      536.18998          -0.61120           3.49450          11.59933          -0.05081           2.17081           0.80647                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171698.77574        872122.62338       4730016.30861       11.80802       48.17151      537.87650           0.97601           0.97126          13.28584           1.53641          -0.35243           2.49299                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171696.06143        872121.09773       4730012.70430       11.80801       48.17150      533.21068           0.03809           0.77992           8.62003           0.59848          -0.54377          -2.17283                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171698.80745        872123.16248       4730015.52177       11.80803       48.17150      537.38446           1.49721           0.34119          12.79381           2.05760          -0.98250           2.00095                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171699.80683        872120.87722       4730013.81195       11.80799       48.17149      536.45092          -0.94420          -1.17957          11.86026          -0.38380          -2.50325           1.06740                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171699.60136        872121.34962       4730012.32373       11.80800       48.17148      535.27231          -0.43975          -2.09423          10.68166           0.12065          -3.41792          -0.11120                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171698.11557        872121.29054       4730015.23191       11.80800       48.17151      536.46136          -0.19353           0.93796          11.87070           0.36686          -0.38573           1.07785                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171694.36863        872118.16382       4730013.70923       11.80797       48.17153      532.45407          -2.48734           3.13217           7.86341          -1.92695           1.80848          -2.92945                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171695.40431        872120.65352       4730014.23353       11.80800       48.17152      533.86060          -0.26226           2.34679           9.26994           0.29813           1.02310          -1.52291                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171695.10118        872120.16780       4730013.76995       11.80800       48.17152      533.25100          -0.67567           2.33278           8.66034          -0.11528           1.00910          -2.13251                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171695.19665        872118.89598       4730012.49401       11.80798       48.17151      532.18899          -1.94012           1.60615           7.59834          -1.37972           0.28247          -3.19452                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171697.01626        872120.78139       4730015.94960       11.80800       48.17152      536.20904          -0.46696           2.29603          11.61839           0.09344           0.97235           0.82553                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171700.27502        872124.36651       4730017.07026       11.80804       48.17150      539.66064           2.37545           0.11987          15.06998           2.93585          -1.20381           4.27713                 8                 0                 8              2.00
1999-Aug-27 09:09:22         4171701.59082        872125.47747       4730017.55732       11.80805       48.17149      541.03412           3.19364          -0.68442          16.44347           3.75404          -2.00810           5.65061                 8                 0                 8              2.00
1999-Aug-27 09:09:23         4171701.74377        872123.61169       4730019.27097       11.80802       48.17150      542.15626           1.33605           0.63136          17.56561           1.89645          -0.69233           6.77275                 8                 0                 8              2.00
1999-Aug-27 09:09:23         4171700.40382        872123.79576       4730017.35293       11.80803       48.17150      539.87746           1.79042           0.30147          15.28681           2.35082          -1.02222           4.49395                 8                 0                 8              2.00
1999-Aug-27 09:09:23         4171703.87978        872122.47863       4730016.16442       11.80800       48.17147      541.08118          -0.21013          -2.82560          16.49052           0.35026          -4.14928           5.69766                 8                 0                 8              2.00
1999-Aug-27 09:09:23         4171703.45808        872121.08026       4730017.96397       11.80799       48.17149      541.95598          -1.49262          -1.10466          17.36532          -0.93222          -2.42835           6.57246                 8                 0                 8              2.00
1999-Aug-27 09:09:23         4171699.72388        872119.98180       4730016.06592       11.80798       48.17150      537.95410          -1.80369           0.52065          13.36344          -1.24329          -0.80304           2.57059                 8                 0                 8              2.00
1999-Aug-27 09:09:23         4171698.59992        872121.33310       4730016.93166       11.80800       48.17151      538.04990          -0.25099           1.71176          13.45925           0.30941           0.38808           2.66639                 8                 0                 8              2.00
