         time                     X [m]               Y [m]               Z [m]          Long [deg]      Lat [deg]          h [m]        E(Acc) [m]        N(Acc) [m]       Up(Acc) [m]        E(Pre) [m]        N(Pre) [m]       Up(Pre) [m]           Tot Sat               Gal               GPS              GDOP
2013-Sep-20 09:11:19         4171692.70593        872118.50845       4730013.09221       11.80798       48.17153      530.95594          -1.80977           3.88085           6.36528           0.00319           0.28479          -2.63025                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171695.84252        872119.33060       4730015.73359       11.80798       48.17153      535.08389          -1.64686           3.22929          10.49323           0.16610          -0.36678           1.49770                 7                 3                 4              2.38
2013-Sep-20 09:11:19         4171696.51959        872119.93155       4730015.12635       11.80799       48.17152      535.15540          -1.19717           2.23884          10.56474           0.61579          -1.35723           1.56921                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171692.85378        872119.16464       4730012.29481       11.80799       48.17153      530.54783          -1.19771           3.14118           5.95717           0.61525          -0.45488          -3.03836                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171690.07850        872117.72466       4730010.22010       11.80798       48.17153      526.99367          -2.03931           4.00134           2.40302          -0.22635           0.40528          -6.59252                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171692.98867        872118.92389       4730013.65917       11.80799       48.17153      531.61967          -1.46097           3.98939           7.02901           0.35199           0.39333          -1.96652                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171694.02280        872118.47920       4730015.30830       11.80798       48.17154      533.46290          -2.10787           4.40274           8.87224          -0.29491           0.80667          -0.12329                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171694.02652        872119.35278       4730016.01707       11.80799       48.17154      534.11268          -1.25353           4.73951           9.52202           0.55943           1.14345           0.52649                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171693.98481        872119.32145       4730016.08920       11.80799       48.17154      534.13492          -1.27567           4.82281           9.54427           0.53729           1.22674           0.54873                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171694.41452        872119.07699       4730014.83638       11.80798       48.17153      533.44854          -1.60288           3.71115           8.85788           0.21008           0.11509          -0.13765                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171695.54442        872118.07932       4730016.21266       11.80797       48.17153      535.07550          -2.81066           3.95700          10.48485          -0.99770           0.36093           1.48931                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171692.77379        872115.55724       4730014.29761       11.80794       48.17154      531.49568          -4.71240           5.08525           6.90502          -2.89945           1.48919          -2.09051                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171691.63001        872116.29920       4730015.24560       11.80796       48.17156      531.55668          -3.75209           6.43858           6.96602          -1.93914           2.84252          -2.02951                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171692.43177        872117.84749       4730015.60467       11.80797       48.17155      532.55892          -2.40063           5.85717           7.96826          -0.58767           2.26111          -1.02727                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171690.93293        872117.88614       4730015.00514       11.80798       48.17156      531.13903          -2.05609           6.54467           6.54837          -0.24314           2.94861          -2.44716                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171690.12255        872117.31940       4730013.31246       11.80797       48.17155      529.27138          -2.44500           6.09331           4.68072          -0.63204           2.49725          -4.31481                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171690.57084        872117.32037       4730013.29541       11.80797       48.17155      529.55145          -2.53579           5.75482           4.96079          -0.72283           2.15876          -4.03474                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171690.32708        872117.65406       4730012.80684       11.80798       48.17155      529.07380          -2.15928           5.55590           4.48315          -0.34632           1.95984          -4.51239                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171690.74432        872118.59802       4730013.31712       11.80799       48.17155      529.85524          -1.32068           5.44794           5.26458           0.49228           1.85188          -3.73095                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171695.46123        872119.99967       4730019.08700       11.80799       48.17155      537.42506          -0.91393           5.64177          12.83440           0.89903           2.04570           3.83887                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171697.78958        872121.40278       4730020.58578       11.80801       48.17154      540.25328          -0.01696           4.72912          15.66262           1.79600           1.13305           6.66709                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171697.65886        872120.73541       4730021.23065       11.80800       48.17155      540.55739          -0.64346           5.35629          15.96673           1.16950           1.76022           6.97120                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171694.20680        872119.75356       4730016.29950       11.80799       48.17154      534.49551          -0.89813           4.73525           9.90485           0.91483           1.13919           0.90932                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171693.00595        872120.15279       4730016.85468       11.80800       48.17155      534.17978          -0.26161           5.92050           9.58912           1.55135           2.32444           0.59359                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171695.73142        872121.45594       4730019.20489       11.80801       48.17155      537.88803           0.45624           5.30127          13.29737           2.26920           1.70521           4.30184                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171693.12915        872119.60495       4730015.58147       11.80799       48.17154      533.23671          -0.82307           5.06507           8.64605           0.98989           1.46901          -0.34948                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171688.46031        872118.71115       4730011.75505       11.80800       48.17155      527.21572          -0.74256           6.05485           2.62506           1.07040           2.45879          -6.37047                 7                 3                 4              2.38
2013-Sep-20 09:11:20         4171691.32987        872118.55563       4730014.88759       11.80799       48.17155      531.40192          -1.48199           6.07467           6.81126           0.33097           2.47861          -2.18427                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171689.56331        872118.20704       4730013.19481       11.80799       48.17155      528.93978          -1.46171           6.28739           4.34912           0.35125           2.69133          -4.64641                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171685.92672        872117.71725       4730010.60163       11.80799       48.17156      524.56671          -1.19697           7.28512          -0.02395           0.61598           3.68906          -9.01948                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171689.55584        872117.74212       4730015.45929       11.80798       48.17157      530.55883          -1.91527           7.87392           5.96817          -0.10231           4.27786          -3.02736                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171691.81410        872118.12623       4730017.71418       11.80798       48.17157      533.76564          -2.00139           7.67202           9.17498          -0.18843           4.07596           0.17945                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171689.64397        872116.59344       4730014.84388       11.80796       48.17157      530.00103          -3.05767           7.57438           5.41037          -1.24471           3.97832          -3.58516                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171691.95807        872115.89947       4730014.75436       11.80795       48.17155      531.35024          -4.21050           5.93264           6.75958          -2.39754           2.33658          -2.23595                 7                 3                 4              2.38
2013-Sep-20 09:11:21         4171694.41446        872116.84871       4730015.87431       11.80795       48.17154      533.91781          -3.78400           4.74316           9.32715          -1.97104           1.14710           0.33162                 7                 3                 4              2.38
